City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
480,Luwuk,ID,78.69,-0.95,122.79,Hotel Santika Luwuk
482,Kahului,US,82.4,20.89,-156.47,Maui Seaside Hotel
486,Mongo,TD,89.38,12.18,18.69,Résidences du Programme FIDA
488,Namatanai,PG,80.46,-3.67,152.43,Namatanai Hotel
489,Sakakah,SA,80.6,29.97,40.21,Fakhamat Al Orjoana Apartment
490,San Policarpo,PH,81.12,12.18,125.51,JM Lodge
499,Tual,ID,83.75,-5.67,132.75,Grand Vilia Hotel
505,Kutum,SD,83.1,14.2,24.67,Dibbo areaمنطقة دبو
506,Nisia Floresta,BR,84.2,-6.09,-35.21,Rancho Crepusculo
514,Bolgatanga,GH,98.35,10.79,-0.85,Mama's Place
517,Saint-Marc,HT,84.72,19.11,-72.69,Maguana Hotel
524,Ambon,ID,81.36,-3.7,128.18,Swiss-Belhotel Ambon
525,Nanning,CN,78.8,22.82,108.32,Nanning Travelling With Hostel
527,Qeshm,IR,80.6,26.96,56.27,Kimia IV Hotel
529,Cururupu,BR,82.42,-1.83,-44.87,Pousada Través'cia
532,Biltine,TD,86.4,14.53,20.92,Hôtel Trois Étoiles de Biltine
541,Jaumave,MX,95.0,23.42,-99.38,HOTEL CIENEGA
543,Chabahar,IR,82.4,25.29,60.64,هتل گدروشیا
547,Mitsamiouli,KM,81.21,-11.38,43.28,Foyer ADM
555,Brownsville,US,89.6,25.9,-97.5,University Inn & Suites
557,Tecoanapa,MX,88.23,16.52,-98.75,Hotel Manglares
561,Kualakapuas,ID,80.6,-3.01,114.39,Guest House Izonk
572,Cajazeiras,BR,79.63,-6.89,-38.56,Oasis Hotel
574,Pascagoula,US,84.99,30.37,-88.56,Regency Inn
576,Batticaloa,LK,81.3,7.71,81.69,Grand Star Guest House
